SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22019,1610612766,CHA,Charlotte Hornets,0021900970,2020-03-11,CHA @ MIA,W,239,109,37,82,0.451,17,34,0.5,18,22,0.818,15,35,50,20,7,4,14,9,11.0
22019,1610612766,CHA,Charlotte Hornets,0021900957,2020-03-09,CHA @ ATL,L,289,138,49,104,0.471,19,48,0.396,21,23,0.913,8,27,35,31,9,6,3,22,-5.0
22019,1610612766,CHA,Charlotte Hornets,0021900940,2020-03-07,CHA vs. HOU,W,240,108,37,70,0.529,15,32,0.469,19,25,0.76,6,24,30,29,7,1,17,15,9.0
22019,1610612766,CHA,Charlotte Hornets,0021900926,2020-03-05,CHA vs. DEN,L,241,112,38,77,0.494,13,33,0.394,23,28,0.821,9,25,34,24,7,2,13,23,-2.0
22019,1610612766,CHA,Charlotte Hornets,0021900909,2020-03-03,CHA vs. SAS,L,240,103,39,82,0.476,12,29,0.414,13,18,0.722,14,32,46,25,4,2,17,16,-1.0
22019,1610612766,CHA,Charlotte Hornets,0021900895,2020-03-01,CHA vs. MIL,L,239,85,34,96,0.354,8,35,0.229,9,10,0.9,12,35,47,22,7,8,10,18,-8.0
22019,1610612766,CHA,Charlotte Hornets,0021900879,2020-02-28,CHA @ TOR,W,240,99,34,78,0.436,13,30,0.433,18,25,0.72,11,47,58,23,3,8,17,22,3.0
22019,1610612766,CHA,Charlotte Hornets,0021900864,2020-02-26,CHA vs. NYK,W,240,107,39,83,0.47,10,30,0.333,19,25,0.76,10,27,37,25,7,4,14,19,6.0
22019,1610612766,CHA,Charlotte Hornets,0021900857,2020-02-25,CHA @ IND,L,240,80,31,93,0.333,10,33,0.303,8,18,0.444,13,26,39,22,10,1,11,13,-39.0
22019,1610612766,CHA,Charlotte Hornets,0021900836,2020-02-22,CHA vs. BKN,L,240,86,31,88,0.352,12,35,0.343,12,21,0.571,9,36,45,22,5,2,12,16,-29.0
22019,1610612766,CHA,Charlotte Hornets,0021900823,2020-02-20,CHA @ CHI,W,240,103,35,74,0.473,8,28,0.286,25,29,0.862,9,35,44,22,9,4,17,16,10.0
